Instrument,ISIN,ISIX,WKN,Mnemonic,MIC Code,URL,,,,,,,,,,,,,,,,,,,,,,,Start Intraday Auction 10,Start Closing Auction
"SCHLUMBERGER   DL-,01",AN8068571086,217,853390,SCL,XETR,http://www.finanzen.at/aktien/Schlumberger-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
AMAG AUSTRIA METALL INH.,AT00000AMAG3,2925,000A1JFYU,AM8,XETR,http://www.finanzen.at/aktien/AMAG-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
FACC AG INH.AKT.,AT00000FACC2,2974,000A1147K,1FC,XETR,http://www.finanzen.at/aktien/FACC_1-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
AGRANA BET.AG INH.,AT0000603709,2725,779535,AGB1,XETR,http://www.finanzen.at/aktien/AGRANA-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
RAIFFEISEN BK INTL INH.,AT0000606306,2545,000A0D9SU,RAW,XETR,http://www.finanzen.at/aktien/Raiffeisen_Bank_International-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
PORR AG,AT0000609607,323,850185,ABS2,XETR,http://www.finanzen.at/aktien/Porr_2-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
C-QUADRAT INVESTM.AG EO 1,AT0000613005,10671,000A0HG3U,C8I,XETR,http://www.finanzen.at/aktien/C-QUADRAT_Investment-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
CA IMMOB.ANL.,AT0000641352,2965,876520,BZY,XETR,http://www.finanzen.at/aktien/CA_Immobilien-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
LENZING AG,AT0000644505,2967,852927,LEN,XETR,http://www.finanzen.at/aktien/Lenzing-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ERSTE GROUP BNK INH. O.N.,AT0000652011,9530,909943,EBO,XETR,http://www.finanzen.at/aktien/Erste_Group_Bank-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
